"fid","iid","pid","fws","moi"
"Luapula","PU1","Luapula",0.805521593,2
"Luapula","PU10","Luapula",0.736008394,2
"Luapula","PU11","Luapula",0.762586171,2
"Luapula","PU12","Luapula",0.565834561,2
"Luapula","PU13","Luapula",0.704389108,2
"Luapula","PU14","Luapula",0.439166806,2
"Luapula","PU15","Luapula",0.451271565,2
"Luapula","PU16","Luapula",0.670061678,2
"Northern","PU17","Northern",0.73381288,2
"Northern","PU18","Northern",0.627668794,2
"Northern","PU19","Northern",0.781912615,2
"Luapula","PU2","Luapula",0.543376091,2
"Northern","PU20","Northern",0.988300672,1
"Northern","PU22","Northern",0.759768102,2
"Northern","PU23","Northern",0.924398471,2
"Northern","PU24","Northern",0.8299904,2
"Northern","PU25","Northern",0.363925497,2
"Northern","PU26","Northern",0.591232268,2
"Northern","PU28","Northern",0.443358508,2
"Luapula","PU3","Luapula",0.830938166,2
"Luapula","PU4","Luapula",0.462312368,2
"Luapula","PU5","Luapula",0.533593595,2
"Luapula","PU6","Luapula",0.798429725,2
"Luapula","PU7","Luapula",0.806480139,2
"Luapula","PU8","Luapula",0.680311713,2
"Luapula","PU9","Luapula",0.396643651,2
"Luapula","Sample5024006","Luapula",0.54926464,2
"Luapula","Sample5024008","Luapula",0.592547362,2
"Luapula","Sample5024009","Luapula",0.748479775,2
"Luapula","Sample5024011","Luapula",0.501154524,2
"Luapula","Sample5024012","Luapula",0.808559709,2
"Luapula","Sample5024019","Luapula",0.957190104,1
"Luapula","Sample5024029","Luapula",0.910029001,2
"Luapula","Sample5024047","Luapula",0.923408309,2
"Luapula","Sample5024051","Luapula",0.346752487,2
"Luapula","Sample5024054","Luapula",0.455477546,2
"Luapula","Sample5024055","Luapula",0.39890102,2
"Luapula","Sample5024056","Luapula",0.622676791,2
"Luapula","Sample5024069","Luapula",0.507206402,2
"Luapula","Sample5024082","Luapula",0.846212463,2
"Luapula","Sample5024083","Luapula",0.557741818,2
"Luapula","Sample5024085","Luapula",0.946652137,2
"Luapula","Sample5024086","Luapula",0.323615135,2
"Luapula","Sample5024096","Luapula",0.471914803,2
"Western","Sample5024113","Western",0.771778429,2
"Western","Sample5024165","Western",0.950295494,1
"Western","Sample5024171","Western",0.393277156,2
"Western","Sample5024173","Western",0.555084083,2
"Western","Sample5024179","Western",0.980258772,1
"Luapula","Sample5024226","Luapula",0.814457072,2
"Copperbelt","Sample5024244","Copperbelt",0.994399294,1
"Luapula","Sample5024252","Luapula",0.506034246,2
"Luapula","Sample5024262","Luapula",0.925155631,2
"Luapula","Sample5024264","Luapula",0.269670246,2
"North-Western","Sample5024275","North-Western",0.899337681,2
"Northern","Sample5024310","Northern",0.994269744,1
"Northern","Sample5024360","Northern",0.987559081,1
"Northern","Sample5024364","Northern",0.529569599,2
"Eastern","Sample5024376","Eastern",0.488115689,2
"Luapula","Sample5024414","Luapula",0.603310492,2
"Luapula","Sample5024416","Luapula",0.600085249,2
"Luapula","Sample5024442","Luapula",0.593184015,2
"Western","Sample5024461","Western",0.99173738,1
"Luapula","Sample5024463","Luapula",0.638992401,2
"Western","Sample5024465","Western",0.980737306,1
"Western","Sample5024467","Western",0.916062586,2
"Western","Sample5024469","Western",0.8662261,2
"Western","Sample5024472","Western",0.85933241,2
"Western","Sample5024473","Western",0.61068716,2
"Western","Sample5024475","Western",0.393423223,2
"Western","Sample5024476","Western",0.709269567,2
"North-Western","Sample5024485","North-Western",0.569241393,2
"North-Western","Sample5024500","North-Western",0.868843523,2
"North-Western","Sample5024504","North-Western",0.979117352,1
"North-Western","Sample5024513","North-Western",0.990993817,1
"North-Western","Sample5024515","North-Western",0.986143781,1
"Muchinga","Sample5024525","Muchinga",0.740482717,2
"Eastern","Sample5024535","Eastern",0.381134299,2
"Eastern","Sample5024536","Eastern",0.621024512,2
"Eastern","Sample5024549","Eastern",0.454418678,2
"North-Western","Sample5024591","North-Western",0.592851826,2
"Eastern","Sample5024608","Eastern",0.675400175,2
"Eastern","Sample5024610","Eastern",0.942880217,2
"Luapula","Sample5024673","Luapula",0.382852111,2
"Luapula","Sample5024680","Luapula",0.994750155,1
"Luapula","Sample5024681","Luapula",0.82996965,2
"Luapula","Sample5024686","Luapula",0.988411,1
"Luapula","Sample5024697","Luapula",0.789542905,2
"Luapula","Sample5024701","Luapula",0.901159545,2
"Luapula","Sample5024704","Luapula",0.511268098,2
"Luapula","Sample5024706","Luapula",0.589726219,2
"Luapula","Sample5024711","Luapula",0.727055742,2
"Luapula","Sample5024719","Luapula",0.54603417,2
"Western","Sample5024771","Western",0.922636832,2
"Luapula","Sample5024818","Luapula",0.31672654,2
"Luapula","Sample5024819","Luapula",0.626483276,2
"Luapula","Sample5024820","Luapula",0.425454817,2
"Luapula","Sample5024831","Luapula",0.832414101,2
"Luapula","Sample5024833","Luapula",0.393246792,2
"Luapula","Sample5024838","Luapula",0.994742536,1
"Luapula","Sample5024839","Luapula",0.876014961,2
"Muchinga","Sample5024884","Muchinga",0.55344154,2
"Western","Sample5024937","Western",0.924537273,2
"Western","Sample5024964","Western",0.991588905,1
"Luapula","Sample5024981","Luapula",0.489595794,2
"Luapula","Sample5024992","Luapula",0.444043231,2
"Luapula","Sample5024996","Luapula",0.890397288,2
"North-Western","Sample5025065","North-Western",0.499837464,2
"North-Western","Sample5025076","North-Western",0.453092958,2
"North-Western","Sample5025089","North-Western",0.772350997,2
"North-Western","Sample5025095","North-Western",0.816804068,2
"Other","Sample5025098","Other",0.991694701,1
"Luapula","Sample5025114","Luapula",0.92983525,2
"Luapula","Sample5025116","Luapula",0.99248915,1
"Luapula","Sample5025117","Luapula",0.350822802,2
"Luapula","Sample5025118","Luapula",0.339761906,2
"Luapula","Sample5025119","Luapula",0.75423845,2
"Luapula","Sample5025122","Luapula",0.695331553,2
"Luapula","Sample5025123","Luapula",0.85144971,2
"Luapula","Sample5025125","Luapula",0.605064566,2
"Western","Sample5025199","Western",0.991926602,1
"Luapula","Sample5025257","Luapula",0.477558469,2
"Luapula","Sample5025261","Luapula",0.362325469,2
"Luapula","Sample5025262","Luapula",0.47727188,2
"Luapula","Sample5025263","Luapula",0.426712883,2
"Luapula","Sample5025264","Luapula",0.585116682,2
"Luapula","Sample5025266","Luapula",0.654059729,2
"Luapula","Sample5025268","Luapula",0.994388812,1
"Western","Sample5025289","Western",0.96457775,1
"Western","Sample5025291","Western",0.949347451,2
"Luapula","Sample5025334","Luapula",0.905165029,2
"Western","Sample5025335","Western",0.929454663,2
"Luapula","Sample5025398","Luapula",0.639125254,2
"Other","Sample5025468","Other",0.992632247,1
"Luapula","Sample5025499","Luapula",0.388576979,2
"Western","Sample5025503","Western",0.903461014,2
"Western","Sample5025504","Western",0.988113066,1
"Western","Sample5025542","Western",0.91204638,2
"Western","Sample5025548","Western",0.826105934,2
"Muchinga","Sample5025617","Muchinga",0.871125546,2
"Muchinga","Sample5025643","Muchinga",0.547667827,2
"Muchinga","Sample5025644","Muchinga",0.974082704,1
"Muchinga","Sample5025654","Muchinga",0.613318611,2
"Northern","Sample5025684","Northern",0.392204571,2
"Western","Sample5025747","Western",0.991218549,1
"Muchinga","Sample5025753","Muchinga",0.792771738,2
"Muchinga","Sample5025773","Muchinga",0.990736187,1
"Muchinga","Sample5025776","Muchinga",0.947765866,2
"Muchinga","Sample5025782","Muchinga",0.594230884,2
"Muchinga","Sample5025822","Muchinga",0.987967702,1
"Luapula","Sample5025909","Luapula",0.356492677,2
"Muchinga","Sample5025918","Muchinga",0.984327245,1
"Luapula","Sample5025922","Luapula",0.912403236,2
"Luapula","Sample5025923","Luapula",0.94130179,2
"Luapula","Sample5025929","Luapula",0.992595807,1
"Luapula","Sample5025930","Luapula",0.806403603,2
"Muchinga","Sample5025941","Muchinga",0.716660894,2
"Muchinga","Sample5025942","Muchinga",0.508331875,2
"Luapula","Sample5025953","Luapula",0.644688652,2
"Luapula","Sample5025954","Luapula",0.368146372,2
"Luapula","Sample5025957","Luapula",0.991817937,1
"Muchinga","Sample5025958","Muchinga",0.429728959,2
"Luapula","Sample5025964","Luapula",0.508158931,2
"Luapula","Sample5025967","Luapula",0.824944196,2
"Muchinga","Sample5025973","Muchinga",0.650611984,2
"Muchinga","Sample5025982","Muchinga",0.988426325,1
"Luapula","Sample5026031","Luapula",0.620238808,2
"Luapula","Sample5026032","Luapula",0.383734664,2
"Northern","Sample5026054","Northern",0.46532033,2
"Luapula","Sample5026133","Luapula",0.797936857,2
"Luapula","Sample5026134","Luapula",0.320431643,2
"Luapula","Sample5026142","Luapula",0.664683473,2
"Luapula","Sample5026152","Luapula",0.988305129,1
"Luapula","Sample5026161","Luapula",0.993422629,1
"Luapula","Sample5026175","Luapula",0.994368318,1
"Eastern","Sample5026206","Eastern",0.849991033,2
"Luapula","Sample5026240","Luapula",0.512201761,2
"Northern","Sample5026244","Northern",0.883508318,2
"Luapula","Sample5026290","Luapula",0.759643883,2
"Luapula","Sample5026293","Luapula",0.968370153,1
"Luapula","Sample5026297","Luapula",0.465011783,2
"Luapula","Sample5026301","Luapula",0.996711227,1
"Luapula","Sample5026302","Luapula",0.995107051,1
"Luapula","Sample5026309","Luapula",0.949968715,2
"Luapula","Sample5026311","Luapula",0.379896495,2
"Luapula","Sample5026312","Luapula",0.845973656,2
"Eastern","Sample5026316","Eastern",0.520253685,2
"Copperbelt","Sample5026338","Copperbelt",0.715888148,2
"Luapula","Sample5026350","Luapula",0.988875663,1
"Western","Sample5026378","Western",0.904414734,2
"Western","Sample5026392","Western",0.992459856,1
"Western","Sample5026399","Western",0.88303129,2
"Western","Sample5026400","Western",0.988175544,1
"Luapula","Sample5026402","Luapula",0.553889685,2
"Luapula","Sample5026403","Luapula",0.682923718,2
"Luapula","Sample5026407","Luapula",0.968079822,1
"Luapula","Sample5026409","Luapula",0.618151317,2
"Luapula","Sample5026416","Luapula",0.994775907,1
"Luapula","Sample5026421","Luapula",0.781280967,2
"Luapula","Sample5026433","Luapula",0.443385703,2
"Luapula","Sample5026435","Luapula",0.761481064,2
"Luapula","Sample5026437","Luapula",0.430772937,2
"Luapula","Sample5026438","Luapula",0.400682654,2
"Luapula","Sample5026441","Luapula",0.493153647,2
"Luapula","Sample5026443","Luapula",0.515096108,2
"Luapula","Sample5026450","Luapula",0.932929867,2
"Luapula","Sample5026452","Luapula",0.584797984,2
"Luapula","Sample5026460","Luapula",0.995255173,1
"Luapula","Sample5026468","Luapula",0.575855135,2
"Luapula","Sample5026480","Luapula",0.759254872,2
"Western","Sample5026483","Western",0.99803651,1
"Northern","Sample5026578","Northern",0.386552083,2
"Northern","Sample5026584","Northern",0.593658279,2
"Northern","Sample5026588","Northern",0.314488704,2
"Northern","Sample5026596","Northern",0.844875744,2
"Copperbelt","Sample5026610","Copperbelt",0.995127018,1
"Copperbelt","Sample5026616","Copperbelt",0.844488836,2
"Copperbelt","Sample5026698","Copperbelt",0.99535859,1
"North-Western","Sample5026712","North-Western",0.618277993,2
"Copperbelt","Sample5026718","Copperbelt",0.913587705,2
"North-Western","Sample5026727","North-Western",0.992318749,1
"North-Western","Sample5026729","North-Western",0.741082741,2
"North-Western","Sample5026735","North-Western",0.587339935,2
"Copperbelt","Sample5026742","Copperbelt",0.990176039,1
"Copperbelt","Sample5026760","Copperbelt",0.784261801,2
"Copperbelt","Sample5026771","Copperbelt",0.908202468,2
"North-Western","Sample5026773","North-Western",0.422154388,2
"Copperbelt","Sample5026793","Copperbelt",0.633183711,2
"Copperbelt","Sample5026805","Copperbelt",0.936775596,2
"Copperbelt","Sample5026814","Copperbelt",0.45024652,2
"Copperbelt","Sample5026847","Copperbelt",0.391754159,2
"Copperbelt","Sample5026866","Copperbelt",0.992150332,1
"Eastern","Sample5026871","Eastern",0.492424205,2
"Eastern","Sample5026877","Eastern",0.718444204,2
"Eastern","Sample5026878","Eastern",0.553338135,2
"Eastern","Sample5026883","Eastern",0.71003488,2
"Eastern","Sample5026884","Eastern",0.603331094,2
"Eastern","Sample5026910","Eastern",0.445300551,2
"Eastern","Sample5026911","Eastern",0.988669365,1
"Eastern","Sample5026916","Eastern",0.610170741,2
"Other","Sample5027250","Other",0.518292129,2
